tokens	target word	tagger tag	human tag	tp/tn
Um , but I don't know if I'd be able to get another job . And making	able	A	A	tn
ory . The times that we've been able to march every parade in the W	able	A	A	tn
was jus- upset about not being able to do anything about it . I was	able	A	A	tn
from that moment . And has been able to see the love between the tw	able	A	A	tn
at our school , but we- we were able to hang out with a fair amount	able	A	A	tn
nse of independence . And being able to live on my own , navigate on	able	A	A	tn
hat feels like home . And being able to s- buy my house in Atlanta .	able	A	A	tn
so I w- I , you know- I- I was able to like wiggle my way into the	able	A	A	tn
st the idea of like , not being able to have those spaces But- in o	able	A	A	tn
um , that I've- I've like been able to put more words and like mor	able	A	A	tn
e school we wouldn't have been able to deal with the ones we've ha	able	A	A	tn
g to the degree that they were able to map out like a neighborhood	able	A	A	tn
ause like , Walmart wouldn't be able to afford to put a Walmart in	able	A	A	tn
ty , then folks might have been able to keep up their stuff back in	able	A	A	tn
esses once we w- started being able to buy at white ones was the w	able	A	A	tn
' t want a Black man to ever be able to reach them goals , so they t	able	A	A	tn
on gotta be good . You gotta be able to get a beat ??. I never real	able	A	A	tn
s- it's- it's just tight to be able to see different people playin	able	A	A	tn
it's- it's tight to go and be able to do that . Like , musicians , t	able	A	A	tn
t myself fully . I haven't been able to be in the studio twenty-fou	able	A	A	tn
e that type of dad . I wanna be able to fully develop some time int	able	A	A	tn
siness like a Walmart would be able to buy for cheap and then rais	able	A	A	tn
foundation for how we've been able to , deal with other people in	able	A	A	tn
nt . I- I don't worry will I be able to pick up the phone and call	able	A	A	tn
< address > experience of being able to go outside and play big whe	able	A	A	tn
Well having my little brother able to come and see people like , o	able	A	A	tn
ty teachers where you would be able to sit in a class and see some	able	A	A	tn
now , for the first time you're able to be free and confront and do	able	A	A	tn
ere I serve . So I wanted to be able to live in the same place . Tha	able	A	A	tn
three , and we were- we weren't able to fly back to DC because we w	able	A	A	tn
gay in tenth grade . And I was able to help support him with a myr	able	A	A	tn
at that time , and so I wasn't able to get new clothes for school .	able	A	A	tn
bout sex . For me , I like to be able to normalize things that seem	able	A	A	tn
ition . Um , but I- I like to be able to educate people , um , i- and	able	A	A	tn
constant for me , um , is being able to- to educate people . Like I ,	able	A	A	tn
but that was really nice to be able to offer this program , um , and	able	A	A	tn
n like how to better- so I was able to like tailor my lessons for	able	A	A	tn
at job . Um , h- a- in it , I was able to like go into , um- so we wor	able	A	A	tn
ou know , so like I kind of was able to use the connections that I '	able	A	A	tn
accomplish . So like just being able to look at these things- all t	able	A	A	tn
er , um , you know , wanted to be able to teach people in a way- I fe	able	A	A	tn
the only way that we gonna be able to get ahead , if you just keep	able	A	A	tn
only way that we are gonna be able to progress as a society is th	able	A	A	tn
verybody's lives cause we were able to o- He opened our eyes to a	able	A	A	tn
. I think you should always be able to- wherever home was , to go b	able	A	A	tn
- a little timid , and so I was able to like grow and get to know t	able	A	A	tn
d away from there before I was able to you know go out , meet frien	able	A	A	tn
ing . The thing I have not been able to accomplish , is that master '	able	A	A	tn
his box right here . I wanna be able to have knowledge on everythin	able	A	A	tn
liked the whole idea of being able to go get fresh seafood from a	able	A	A	tn
didn't happen to me but I was able to witness was- having to call	able	A	A	tn
other I remember . She's- she's able to do things on her own but it	able	A	A	tn
was like , I'm so glad you was able to take him , my kids was like ,	able	A	A	tn
