tokens	target word	tagger tag	human tag	fp/fn
and blah blah blah . Really an absolute beautiful building . I mean , on	absolute	A	NPAM	fn
at was it . Everything else was academic based . So it was like , chess c	academic	A	PREJJ	fn
ittle Ivy . I mean as academic r- -ly as < school > may or may	academic	A	PREJJ	fn
se like maybe they won't be as actively in like seeking me out . Um , bu	actively	R	A	fp
act crazy . They act like- More aggressive ? Yeah . Yeah . And most- In Mary	aggressive	A	POSTVB	fn
ho's who pulled me over for no apparently reason . I was telling them , li	apparently	R	A	fp
u know , if you got asthma , you automatic disqualified . < ts > Yup . Cause	automatic	A	PREJJ	fn
ht name , see ? And , it went on , awful long time , and then , one day t	awful	A	NPAM	fn
want my children to be acting bad . I let them do something . I do	bad	A	POSTVB	fn
ou want . Even if you don't act bad around there , if you do act ba	bad	A	POSTVB	fn
- like , I was just sweating so bad . I'm just like so nervous , hea	bad	A	POSTVB	fn
now , I don't wanna say it that bad , but it's like , some of these	bad	A	POSTVB	fn
t to think . I wasn't hurt that bad- Well , my right eye was split ,	bad	A	POSTJJ	fn
her like , say she was talking bad about me , it's just like we're	bad	A	POSTVB	fn
e it's like I- I wouldn't talk bad about her and never- n- never	bad	A	POSTVB	fn
ever . Man I wanted a tattoo so bad . You know what I'm saying . We-	bad	A	POSTVB	fn
gh > We wanted tattoo just that bad ( laughing ) . I wouldn't let him	bad	A	POSTVB	fn
st half . Them folks beat us so bad in the first half , that- it wa	bad	A	POSTVB	fn
him never did have it \to too bad cause he used to live right ne	bad	A	POSTVB	fn
n my face . It didn't hurt that bad but I saw my brother standing	bad	A	POSTVB	fn
very day to eat healthy or eat bad , you know ? And it's just a- a	bad	A	POSTVB	fn
to get like- get into it real bad cause I felt like , this nigga	bad	A	POSTVB	fn
er hand , they needed help real bad . Like managers and stuff . So ,	bad	A	POSTVB	fn
rk . And I wanna ask my boss so bad like , why did you hire her ? I	bad	A	POSTVB	fn
you felt some time you know so bad until you wish you would die y	bad	A	POSTVB	fn
side and I wanna go outside so bad but um , I- Somehow or another	bad	A	POSTVB	fn
t there , and it- it hurt me so bad because you know what I'm sayi	bad	A	POSTVB	fn
ayed because I hurt my knee so bad that- that I was kind of kind	bad	A	POSTVB	fn
s , I want a pair of sandals so bad , but I don't wanna spend this .	bad	A	POSTVB	fn
tell on us when we did things bad . She'd give us chances and stu	bad	A	POSTVB	fn
cause they want ' em to go down bad . They want the people- they wa	bad	A	POSTVB	fn
know when I was on drugs real bad . So they refuted my testimony	bad	A	POSTVB	fn
Norman , he didn't get hurt too bad , but Joe Rossi did . And- and t	bad	A	POSTVB	fn
keep it . I hope he say that so bad ! Oh ! I'm'a put this money in t	bad	A	POSTVB	fn
Oh boy , I wanted them shoes so bad . Now I wasn't gonna show you w	bad	A	POSTVB	fn
school , my feet was hurting so bad , ( laughing ) I'd take the shoes	bad	A	POSTVB	fn
utter , and he beat him up real bad . He killed quite a few picture	bad	A	POSTVB	fn
were in- They were hurt pretty bad , had to go to the hospital . Th	bad	A	POSTVB	fn
I say I miss living Uptown so bad ( laughing ) it's just like , ove	bad	A	POSTVB	fn
don't wanna get into that too bad . But , that- that was part of m	bad	A	POSTVB	fn
he boy a lot . She spank him so bad til you can hear it through th	bad	A	POSTVB	fn
rything . They shot ' em up real bad . Uh-huh . Yeah . Mm , cat and a h	bad	A	POSTVB	fn
. So I figure if I wanna do it bad enough , you know , I'll go and	bad	A	POSTVB	fn
I'm saying , how they do people bad , and- and all of that , all- al	bad	A	POSTVB	fn
, when they got shot up pretty bad , police , they just open up on	bad	A	POSTVB	fn
think one guy got uh hurt real bad over there and that's when it	bad	A	POSTVB	fn
ody could do that right now as bad as I need it . First- all the m	bad	A	PREVB	fn
know . You know , depends on how bad he wanted to hang with us so .	bad	A	PREVB	fn
sed away and , um , and I got so bad on drugs , this that and the ot	bad	A	POSTVB	fn
they want to do all that that bad cause I know what's it all abo	bad	A	POSTVB	fn
y , I- I ain't got to sing that bad . Cause I was a ballad singer .	bad	A	POSTVB	fn
dy to take a bath , it burns so bad . And then y- yeah , the water w	bad	A	POSTVB	fn
ould burn your hands so bad from picking cotton . So I've-	bad	A	POSTVB	fn
ht when it started raining . So bad i- it rained that night . It's	bad	A	PREVB	fn
hurt . She hurt her back really bad , and , um , I remember from then	bad	A	POSTVB	fn
se but it was smoked up pretty bad . And everybody was o- after ev	bad	A	POSTVB	fn
eally have to have a cigarette bad . You got a serious jones . You	bad	A	POSTVB	fn
the dog living suffering very badly . I'd share a little bit of it	badly	A	POSTVB	fn
others . It- it- it turned out beautiful , at first . Let's put it like t	beautiful	A	POSTVB	fn
And I think I got them right . Biological is what ? The , uh- Which parent	biological	R	A	fp
ike Don't pay him no mind . Act calm . Act like he's not even here .	calm	A	POSTVB	fn
hool that still act what I say childish . You know , that hang with the	childish	A	POSTVB	fn
t away . Me and < name > got away clean . Next day- Like that's what I '	clean	A	POSTVB	fn
Shotgun take and pick up a kid clean- throw him clean across the st	clean	A	POSTVB	fn
that moment , even though I was clear free , I was scared , I was shak	clear	A	PREJJ	fn
y neighborhood , we were like a close knit neighborhood , everybody k	close	A	NPAM	fn
ceville , we were pretty much a close knit family because my mom was	close	A	NPAM	fn
xties were good , you know . Uh , close knit neighborhood . Knew everyb	close	A	NPAM	fn
um- I mean relat- like , it was close together within the same commu	close	R	A	fp
ly . Um , pretty much had like a close knit family . Uh , we- as brothe	close	A	NPAM	fn
u know . And by people being so close together , they would know exac	close	R	A	fp
from . It musta been something close by , you know . But even Sampson	close	R	A	fp
is life , but actually ended up close unintelligible down at the fir	close	R	A	fp
h I would have- could have ' em close cause I used to- used to have	close	A	POSTVB	fn
And I sticks with them pretty close and j- enjoy ' em and it's just	close	A	POSTVB	fn
know , my mom raised me pretty close knit . And I'm a mama's boy , if	close	A	PREJJ	fn
but I was r- I was raised very close knit , very kind of under the w	close	A	PREJJ	fn
es . And so , we had a very very close-knit neighborhood . There was l	close	A	NPAM	fn
sixth grade . It was just very close knit , the people there . Um , it	close	A	PREJJ	fn
how blessed we were by being a close knit family , and then seeing h	close	A	NPAM	fn
and George's . Mm-hm . They like close together . It's like Danny's is	close	R	A	fp
fine < laugh > We- we were very close knit . I mean one of those frie	close	A	PREJJ	fn
V's and shit . Cause we just so close knitted up there . Even if we d	close	A	PREJJ	fn
we all love each other . Pretty close-knit . Um , school was pretty go	close	A	PREJJ	fn
o- < laugh > I just want to live comfortable , see ? Well- To have things if	comfortable	A	POSTVB	fn
what I'm saying ? So I can live comfortable . Because- Cause- cause each an	comfortable	A	POSTVB	fn
a beast . But , it was just fun . Competitive Yeah . I- I wa- we grew up- I d	competitive	R	A	fp
g there at some point , but not consistent . So I think that for us , that	consistent	A	POSTVB	fn
okay I get out and I walk all cool you know I walk cool as I can	cool	A	POSTVB	fn
g cocaine and they were acting crazy you know so she- she got out o	crazy	A	POSTVB	fn
er night laser tagging . It was crazy fun . We uh , went around about-	crazy	A	PREJJ	fn
Lunching you Lunching- acting crazy . Like , you lunching . < laugh > L	crazy	A	POSTVB	fn
h , DC- Yeah , DC- DC people act crazy . They act like- More aggressiv	crazy	A	POSTVB	fn
ou know , when I can- I can act crazy when I want to . I don't know .	crazy	A	POSTVB	fn
rmarket here , even though it's crazy expensive . Um , I still believe	crazy	A	PREJJ	fn
olluted . It wants you to think crazy . It wants to put all this on h	crazy	A	POSTVB	fn
as from . And I'm like a really crazy small island far far away . It '	crazy	A	PREJJ	fn
wild stuff . Being wild . Acting crazy , drinking . You know what I'm s	crazy	A	POSTVB	fn
wrong , then she go acting all cute and raising her hand and answe	cute	A	POSTVB	fn
ed ? Well , only thing that I do dangerous is drive and I'm not gonna sto	dangerous	A	POSTVB	fn
ty . So , that just show you how deep belief go too . Mm-mm . There's	deep	A	PREVB	fn
s no loyalty . But when you get deep into the whole situation , man	deep	A	POSTVB	fn
emotions . The emotions sink so deep into your organs , if you don't	deep	A	POSTVB	fn
ack students was being treated different because it seemed like there w	different	A	POSTVB	fn
mean , I mean we still treated different though . Um , not directly but I	different	A	POSTVB	fn
an't remember any- treated any different you know , cause we all played	different	A	POSTVB	fn
eated different . You know ? But uh , you know , t	different	A	POSTVB	fn
I go somewhere , I get treated different , even at work . < ts > It pisses	different	A	POSTVB	fn
ted good for theirself , wanted different , wanted better . So it was- w-	different	A	POSTVB	fn
t- th- these people , they talk different . They don't dress like we dres	different	A	POSTVB	fn
n Princeville . We were treated different . You know , and sometime only t	different	A	POSTVB	fn
ecause people would look at us different because we didn't dress like o	different	A	POSTVB	fn
g that DC treats children very different than Virginia does . Um , especi	different	A	POSTVB	fn
e than my daughter . I love her different . You know what I'm saying ? But	different	A	POSTVB	fn
n . Like I- I- I wouldn't act different at all . Like it wouldn't affec	different	A	POSTVB	fn
ing different , it's gonna be the other perso	different	A	POSTVB	fn
ot about to- I'm not gonna act different . Like if somebody gonna be act	different	A	POSTVB	fn
y see a little- stuff a little different though cause I didn't go to co	different	A	POSTVB	fn
d stay out later , they dressed different . They had , you know , more free	different	A	POSTVB	fn
was black , but she treated her different- That's when I started learnin	different	A	POSTVB	fn
ame > , treated that little girl different than she treated everybody els	different	A	POSTVB	fn
community , I was treated different i- because of my complexion . P	different	A	POSTVB	fn
ou know , and they were talking different , and um , they were dressing di	different	A	POSTVB	fn
and then you- I was treated in different cause of my complexion . My own	different	A	POSTVB	fn
